archivo,variable,es_climatologia,dominio_AAA_propuesto,confianza,apto_fase2_estacionalidad,apto_fase3_enso,metodo,periodo_inicio,periodo_fin,n_meses_datos,cubre_el_nino,n_meses_el_nino,cubre_la_nina,n_meses_la_nina,fuente_clasificacion_enso
diquelosespanoles_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1968-09,1989-12,172,True,49,True,92,"indice_1982+,lista_documentada_pre1982"
fortaleza_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1963-08,2003-07,480,True,92,True,145,"indice_1982+,lista_documentada_pre1982"
huancanesuches_precipitacion_climatologia.csv,precipitacion,True,TITICACA,alta,True,False,nombre de cuenca (sin verificar coordenadas),2000-01,2000-12,12,False,0,True,12,indice_1982+
huarmey_precipitacion_multiestacion.csv,precipitacion,False,HUARMEY-CHICAMA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1989-01,2005-12,204,True,38,True,54,indice_1982+
huarmeyculebras_caudal_volumen_multicuenca.csv,caudal_volumen,False,HUARMEY-CHICAMA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1973-01,2002-07,355,True,67,True,115,"indice_1982+,lista_documentada_pre1982"
huaura_caudal_volumen_multicuenca.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1911-01,2008-12,1176,True,114,True,192,"indice_1982+,lista_documentada_pre1982"
huaura_precipitacion_multiestacion.csv,precipitacion,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1963-01,2008-12,552,True,102,True,161,"indice_1982+,lista_documentada_pre1982"
huaylas_caudal_climatologia_multicanal.csv,caudal_volumen,True,HUARMEY-CHICAMA,media,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
huaylas_precipitacion_climatologia.csv,precipitacion,True,HUARMEY-CHICAMA,media,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
ica_caudal_diario.csv,caudal_volumen,False,CHÁPARRA-CHINCHA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1922-01,2005-12,30681,True,109,True,177,"indice_1982+,lista_documentada_pre1982"
ica_volumen_mensual.csv,caudal_volumen,False,CHÁPARRA-CHINCHA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1922-01,2005-12,1008,True,109,True,177,"indice_1982+,lista_documentada_pre1982"
jequetepeque_caudal_volumen.csv,caudal_volumen,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-08,2003-07,468,True,92,True,141,"indice_1982+,lista_documentada_pre1982"
jequetepeque_precipitacion_multiestacion.csv,precipitacion,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1958-01,2005-12,576,True,101,True,146,"indice_1982+,lista_documentada_pre1982"
laleche_caudal_volumen.csv,caudal_volumen,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1960-01,2005-12,552,True,97,True,146,"indice_1982+,lista_documentada_pre1982"
laleche_precipitacion.csv,precipitacion,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,1982-12,228,True,40,True,52,"indice_1982+,lista_documentada_pre1982"
lluclla_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1977-09,1986-10,90,True,16,True,31,"indice_1982+,lista_documentada_pre1982"
locumba_multiestacion_caudal.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1993-01,1996-12,48,True,5,True,10,indice_1982+
locumba_puenteviejo_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1972-01,1999-12,335,True,74,True,102,"indice_1982+,lista_documentada_pre1982"
lurin_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2002-12,468,True,90,True,145,"indice_1982+,lista_documentada_pre1982"
lurin_precipitacion_areal_thiessen_multianual.csv,precipitacion,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
lurin_precipitacion_multiestacion.csv,precipitacion,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2002-12,468,True,90,True,145,"indice_1982+,lista_documentada_pre1982"
majes_precipitacion_estaciones_adicionales_multiestacion.csv,precipitacion,False,CAPLINA-OCOÑA,media,True,True,nombre de cuenca (sin verificar coordenadas),1961-03,2000-03,381,True,84,True,134,"indice_1982+,lista_documentada_pre1982"
majes_precipitacion_multiestacion.csv,precipitacion,False,CAPLINA-OCOÑA,media,True,True,nombre de cuenca (sin verificar coordenadas),1963-08,2009-07,552,True,103,True,163,"indice_1982+,lista_documentada_pre1982"
mala_lacapilla_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,coordenadas (verificado point-in-polygon),1938-08,2004-07,792,True,104,True,176,"indice_1982+,lista_documentada_pre1982"
mantaroalto_caudal_volumen_multicuenca.csv,caudal_volumen,False,MANTARO,alta,True,True,nombre de cuenca (sin verificar coordenadas),1960-01,2007-12,576,True,102,True,154,"indice_1982+,lista_documentada_pre1982"
maure_chuapalca_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1963-01,2003-12,392,True,92,True,145,"indice_1982+,lista_documentada_pre1982"
maure_kovirebofedal_caudal.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1993-01,1996-12,48,True,5,True,10,indice_1982+
maure_lafrontera_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1964-01,2003-12,236,True,92,True,145,"indice_1982+,lista_documentada_pre1982"
mochevirusanta_caudal_volumen_multicuenca.csv,caudal_volumen,False,HUARMEY-CHICAMA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1956-08,2004-07,576,True,104,True,150,"indice_1982+,lista_documentada_pre1982"
nascapalpa_caudal_volumen_multiestacion.csv,caudal_volumen,False,CHÁPARRA-CHINCHA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1984-01,2005-12,264,True,52,True,90,indice_1982+
ocona_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,coordenadas (verificado point-in-polygon),1965-09,2006-08,492,True,94,True,139,"indice_1982+,lista_documentada_pre1982"
ocona_caudal_volumen_generado_lutzscholz.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,coordenadas (verificado point-in-polygon),1965-01,2002-12,456,True,90,True,136,"indice_1982+,lista_documentada_pre1982"
ocona_precipitacion_areal.csv,precipitacion,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1965-09,2006-08,492,True,94,True,139,"indice_1982+,lista_documentada_pre1982"
pisco_precipitacion_climatologia_multiestacion.csv,precipitacion,True,CHÁPARRA-CHINCHA,alta,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
