date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1998-08-01,4.517,12.1
1998-09-01,4.294,11.13
1998-10-01,7.727,20.7
1998-11-01,6.986,18.11
1998-12-01,6.511,17.44
1999-01-01,10.307,27.61
1999-02-01,46.673,112.91
1999-03-01,43.775,117.25
1999-04-01,43.073,111.65
1999-05-01,11.09,29.7
1999-06-01,6.929,17.96
1999-07-01,4.728,12.66
1999-08-01,3.431,9.19
1999-09-01,4.344,11.26
1999-10-01,5.363,14.36
1999-11-01,4.571,11.85
1999-12-01,10.875,29.13
