date,caudal_angasmayo_m3s,volumen_angasmayo_mmc,caudal_yanacocha_m3s,volumen_yanacocha_mmc,caudal_chamiseria_m3s,volumen_chamiseria_mmc
1999-12-01,9.76,26.141,2.17,5.812,3.27,8.758
2000-01-01,19.46,52.122,2.65,7.098,9.25,24.775
2000-02-01,66.67,167.048,33.95,85.065,23.51,58.907
2000-03-01,64.71,173.319,32.34,86.619,17.83,47.756
2000-04-01,24.69,63.996,6.26,16.226,5.75,14.904
2000-05-01,9.93,26.597,1.86,4.982,2.0,5.357
2000-06-01,4.26,11.042,0.53,1.374,1.69,4.38
2000-07-01,2.62,7.017,0.47,1.259,1.38,3.696
2000-08-01,2.4,6.428,0.54,1.446,1.31,3.509
2000-09-01,3.06,7.932,0.35,0.907,1.6,4.147
2000-10-01,3.35,8.973,0.34,0.911,1.76,4.714
2000-11-01,4.2,10.886,1.39,3.603,1.69,4.38
2000-12-01,6.24,16.713,3.83,10.258,2.35,6.294
2001-01-01,67.88,181.81,27.32,73.174,18.03,48.292
2001-02-01,65.0,157.248,19.7,47.658,22.4,54.19
2001-03-01,72.15,193.247,27.84,74.567,14.85,39.774
2001-04-01,23.17,60.057,13.16,34.111,6.47,16.77
2001-05-01,12.22,32.73,5.01,13.419,2.3,6.16
2001-06-01,5.88,15.241,1.67,4.329,1.85,4.795
2001-07-01,3.7,9.91,1.01,2.705,1.83,4.901
2001-08-01,3.59,9.615,0.85,2.277,1.71,4.58
2001-09-01,5.9,15.293,0.98,2.54,1.78,4.614
2001-10-01,5.12,13.713,1.16,3.107,1.92,5.143
2001-11-01,9.21,23.872,1.12,2.903,2.31,5.988
2001-12-01,7.71,20.65,5.27,14.115,4.57,12.24
2002-01-01,4.58,12.267,0.52,1.393,2.76,7.392
2002-02-01,28.43,68.778,22.01,53.247,11.21,27.119
2002-03-01,48.49,129.876,18.21,48.774,12.63,33.828
2002-04-01,20.96,54.328,15.39,39.891,6.61,17.133
2002-05-01,13.04,34.926,4.93,13.205,2.4,6.428
2002-06-01,5.94,15.396,1.26,3.266,1.86,4.821
2002-07-01,5.04,13.499,1.44,3.857,1.62,4.339
2002-08-01,3.38,9.053,1.77,4.741,1.6,4.285
2002-09-01,0.57,1.477,2.15,5.573,1.83,4.743
2002-10-01,4.16,11.142,1.63,4.366,2.13,5.705
2002-11-01,5.57,14.437,0.92,2.385,2.84,7.361
2002-12-01,19.97,53.488,2.99,8.008,4.64,12.428
2003-01-01,19.52,52.282,3.28,8.785,5.62,15.053
2003-02-01,25.68,62.125,19.76,47.803,11.53,27.893
2003-03-01,48.4,129.635,21.86,58.55,13.65,36.56
2003-04-01,28.36,73.509,10.57,27.397,7.24,18.766
2003-05-01,5.97,15.99,0.9,2.411,3.2,8.571
2003-06-01,2.23,5.78,0.91,2.359,1.92,4.977
2003-07-01,2.65,7.098,0.4,1.071,1.78,4.768
2003-08-01,2.97,7.955,0.52,1.393,1.65,4.419
2003-09-01,4.42,11.457,1.15,2.981,1.53,3.966
2003-10-01,7.39,19.793,2.08,5.571,1.54,4.125
2003-11-01,9.73,25.22,2.8,7.258,1.7,4.406
2003-12-01,10.17,27.239,4.98,13.338,2.92,7.821
2004-01-01,5.32,14.249,2.02,5.41,4.55,12.187
2004-02-01,14.08,35.279,2.87,7.191,9.43,23.628
2004-03-01,12.97,34.739,5.55,14.865,6.34,16.981
2004-04-01,15.01,38.906,1.97,5.106,3.04,7.88
2004-05-01,8.42,22.552,1.87,5.009,2.47,6.616
2004-06-01,4.84,12.545,1.05,2.722,2.26,5.858
2004-07-01,4.36,11.678,0.71,1.902,1.9,5.089
2004-08-01,3.89,10.419,0.72,1.928,1.58,4.232
2004-09-01,3.6,9.331,0.83,2.151,1.73,4.484
2004-10-01,6.41,17.169,1.11,2.973,1.73,4.634
2004-11-01,5.7,14.774,0.6,1.555,2.39,6.195
2004-12-01,16.72,44.783,3.18,8.517,5.64,15.106
2005-01-01,24.22,64.871,8.41,22.525,4.32,11.571
2005-02-01,24.87,60.166,8.21,19.862,4.61,11.153
2005-03-01,23.37,62.594,9.21,24.668,6.66,17.838
2005-04-01,13.49,34.966,2.93,7.595,2.5,6.48
2005-05-01,5.23,14.008,2.77,7.419,1.93,5.169
2005-06-01,3.76,9.746,1.39,3.603,1.63,4.225
2005-07-01,3.17,8.491,1.08,2.893,1.46,3.91
2005-08-01,3.15,8.437,0.91,2.437,1.55,4.152
2005-09-01,3.12,8.087,1.26,3.266,1.47,3.81
2005-10-01,3.43,9.187,1.27,3.402,2.16,5.785
2005-11-01,3.32,8.605,2.01,5.21,2.05,5.314
2005-12-01,4.45,11.919,1.72,4.607,3.23,8.651
2006-01-01,16.93,45.345,6.99,18.722,8.74,23.409
2006-02-01,25.42,61.496,9.19,22.232,9.24,22.353
2006-03-01,69.0,184.81,12.55,33.614,4.97,13.312
2006-04-01,37.48,97.148,5.95,15.422,4.1,10.627
2006-05-01,6.72,17.999,2.01,5.384,2.15,5.759
2006-06-01,4.73,12.26,0.89,2.307,2.0,5.184
2006-07-01,4.06,10.874,0.7,1.875,1.75,4.687
2006-08-01,3.68,9.857,0.51,1.366,1.7,4.553
2006-09-01,3.54,9.176,0.83,2.151,1.67,4.329
2006-10-01,3.53,9.455,0.87,2.33,1.59,4.259
2006-11-01,9.93,25.739,2.18,5.651,4.3,11.146
2006-12-01,8.45,22.632,4.93,13.205,4.19,11.222
2007-01-01,19.18,51.372,5.3,14.196,7.26,19.445
2007-02-01,57.51,139.128,36.72,88.833,14.0,33.869
2007-03-01,47.72,127.813,36.93,98.913,19.93,53.381
2007-04-01,16.5,42.768,2.38,6.169,5.17,13.401
2007-05-01,7.44,19.927,2.38,6.375,2.05,5.491
2007-06-01,5.21,13.504,1.12,2.903,2.53,6.558
2007-07-01,6.54,17.517,0.52,1.393,2.21,5.919
2007-08-01,6.71,17.972,0.26,0.696,1.9,5.089
2007-09-01,5.8,15.034,0.21,0.544,2.03,5.262
2007-10-01,6.86,18.374,0.73,1.955,1.82,4.875
2007-11-01,4.89,12.675,2.18,5.651,2.33,6.039
2007-12-01,7.69,20.597,4.58,12.267,2.78,7.446
