date,caudal_quirihuac_m3s,volumen_quirihuac_mmc,caudal_huacapongo_rio_viru_m3s,volumen_huacapongo_rio_viru_mmc,caudal_condorcerro_m3s,volumen_condorcerro_mmc,caudal_salinar_rio_chicama_m3s,volumen_salinar_rio_chicama_mmc
2000-10-01,1.86,4.82,0.0,0.0,53.09,137.61,4.708,12.2
2000-11-01,2.67,6.92,0.0,0.0,61.25,158.76,2.341,6.07
2000-12-01,5.32,13.79,0.77,2.0,93.73,242.95,9.902,25.67
2001-01-01,23.263,60.3,11.947,30.97,367.91,953.62,40.292,104.44
2001-02-01,29.838,77.34,10.002,25.93,307.281,796.47,48.66,126.13
2001-03-01,84.516,219.07,22.09,57.26,500.886,1298.3,163.252,423.15
2001-04-01,55.817,144.68,11.434,29.64,227.114,588.68,93.62,242.66
2001-05-01,11.826,30.65,1.218,3.16,77.959,202.07,21.857,56.65
2001-06-01,7.001,18.15,0.847,2.2,56.627,146.78,15.426,39.98
2001-07-01,2.619,6.79,0.408,1.06,47.839,124.0,8.859,22.96
2001-08-01,1.921,4.98,0.183,0.47,44.469,115.26,5.62,14.57
2001-09-01,2.804,7.27,0.012,0.03,49.758,128.97,5.411,14.03
2001-10-01,2.92,7.57,0.0,0.0,57.372,148.71,3.494,9.06
2001-11-01,10.781,27.94,1.41,3.65,172.958,448.31,10.63,27.55
2001-12-01,8.607,22.31,2.644,6.85,180.729,468.45,11.701,30.33
2002-01-01,4.475,11.6,0.612,1.59,154.346,400.06,9.614,24.92
2002-02-01,10.184,26.4,5.835,15.12,202.809,525.68,27.008,70.0
2002-03-01,36.574,94.8,19.053,49.39,383.796,994.8,88.733,230.0
2002-04-01,33.76,87.51,7.127,18.47,283.621,735.15,79.609,206.35
2002-05-01,6.085,15.77,0.838,2.17,95.01,246.27,22.855,59.24
2002-06-01,4.349,11.27,0.102,0.26,55.493,143.84,12.748,33.04
2002-07-01,2.32,6.01,0.055,0.14,50.968,132.11,7.613,19.73
2002-08-01,0.953,2.47,0.008,0.02,41.155,106.67,4.865,12.61
2002-09-01,0.486,1.26,0.0,0.0,41.916,108.65,3.164,8.2
2002-10-01,1.74,4.51,0.0,0.0,73.746,191.15,4.805,12.45
2002-11-01,5.859,15.19,2.991,7.75,166.597,431.82,12.798,33.17
2002-12-01,7.555,19.58,3.083,7.99,185.111,479.81,17.165,44.49
2003-01-01,6.024,15.61,1.523,3.95,165.07,427.86,21.25,55.08
2003-02-01,12.238,31.72,2.859,7.41,221.186,573.31,60.775,157.53
2003-03-01,14.317,37.11,5.318,13.78,258.158,669.15,98.03,254.09
2003-04-01,15.492,40.15,6.609,17.13,190.291,493.23,67.412,174.73
2003-05-01,6.085,15.77,1.433,3.71,85.06,220.48,25.251,65.45
2003-06-01,2.224,5.76,0.346,0.9,56.343,146.04,9.708,25.16
2003-07-01,0.708,1.84,0.099,0.26,46.922,121.62,5.459,14.15
2003-08-01,0.45,1.17,0.0,0.0,44.252,114.7,3.382,8.77
2003-09-01,0.205,0.53,0.0,0.0,42.515,110.2,2.867,7.43
2003-10-01,0.16,0.41,0.0,0.0,63.103,163.56,3.92,10.16
2003-11-01,0.135,0.35,0.0,0.0,60.805,157.61,4.913,12.73
2003-12-01,1.196,3.1,0.0,0.0,135.421,351.01,8.933,23.15
2004-01-01,0.856,2.22,0.0,0.0,104.534,270.95,21.34,55.31
2004-02-01,8.078,20.94,1.112,2.88,167.166,433.29,61.847,160.31
2004-03-01,12.675,32.85,3.247,8.42,137.962,357.6,95.103,246.51
2004-04-01,7.176,18.6,0.383,0.99,123.908,321.17,67.747,175.6
2004-05-01,2.793,7.24,0.0,0.0,66.441,172.22,25.239,65.42
2004-06-01,0.609,1.58,0.0,0.0,44.812,116.15,9.573,24.81
2004-07-01,0.099,0.26,0.0,0.0,36.429,94.42,5.401,14.0
