date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1963-05-01,NA,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA
1963-06-01,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA
1963-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963-08-01,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
1963-09-01,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA
1963-10-01,NA,NA,NA,NA,51.4,NA,NA,NA,NA,NA,NA,NA,NA
1963-11-01,NA,NA,NA,NA,80.8,NA,NA,NA,NA,NA,NA,NA,NA
1963-12-01,NA,NA,NA,NA,105.2,NA,NA,NA,NA,NA,NA,NA,NA
1964-01-01,126.3,30.2,NA,NA,162.8,51.9,NA,59.3,NA,NA,NA,99.0,NA
1964-02-01,137.3,19.6,96.2,NA,126.6,60.6,NA,73.1,NA,NA,NA,109.0,NA
1964-03-01,165.5,56.0,108.5,NA,211.6,106.4,181.5,86.2,NA,NA,NA,144.0,NA
1964-04-01,144.9,32.5,153.2,NA,154.1,48.0,201.9,53.7,NA,NA,NA,141.0,NA
1964-05-01,12.4,NA,NA,NA,13.8,5.3,31.9,11.1,NA,NA,NA,18.0,NA
1964-06-01,3.3,NA,NA,NA,3.9,0.0,45.8,0.2,NA,NA,NA,NA,NA
1964-07-01,9.1,NA,NA,NA,14.9,6.2,29.1,NA,NA,NA,NA,7.0,NA
1964-08-01,15.6,4.5,NA,NA,26.6,21.7,45.9,10.2,NA,NA,NA,15.0,NA
1964-09-01,NA,NA,7.0,NA,20.6,10.7,21.4,10.8,NA,NA,NA,14.0,NA
1964-10-01,64.7,5.5,31.5,NA,140.2,28.5,115.7,48.0,NA,121.0,NA,101.0,NA
1964-11-01,33.2,2.4,40.0,NA,80.1,28.2,77.2,22.5,NA,93.0,NA,52.0,NA
1964-12-01,37.4,5.8,12.5,NA,55.0,17.7,16.0,21.6,NA,50.0,NA,45.0,NA
1965-01-01,46.6,10.0,8.5,NA,69.5,26.0,56.4,29.7,NA,110.0,NA,61.0,NA
1965-02-01,130.2,29.3,56.0,NA,173.0,61.0,121.5,56.3,NA,NA,NA,119.0,NA
1965-03-01,269.6,133.0,163.0,NA,291.5,281.2,337.7,186.2,NA,158.0,NA,249.0,NA
1965-04-01,179.5,29.5,38.0,NA,224.6,74.1,123.3,63.2,NA,233.0,NA,185.0,NA
1965-05-01,17.5,1.7,15.0,NA,38.7,4.7,44.7,5.2,NA,6.3,NA,1.5,NA
1965-06-01,NA,NA,NA,NA,1.0,37.1,16.6,NA,NA,0.0,NA,NA,NA
1965-07-01,2.1,NA,2.0,NA,4.6,6.4,7.3,2.2,NA,0.0,NA,0.1,NA
1965-08-01,NA,NA,2.5,NA,NA,6.8,5.3,NA,NA,0.0,5.0,0.4,NA
1965-09-01,26.3,4.0,4.0,NA,60.5,21.5,58.7,30.3,NA,7.7,7.2,2.0,NA
1965-10-01,54.6,9.0,25.5,NA,100.0,33.0,109.1,21.0,NA,162.4,136.0,5.8,NA
