date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1965-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0,0.21,0.06,10.3
1965-09-01,1.3,24.0,24.7,6.4,10.6,31.3,20.8,5.91,10.9,0.0,12.92,3.9,16.6,21.5,14.2,1.6,2.83,34.0,3.0,2.2,2.26,8.53,21.0
1965-10-01,0.0,22.0,0.0,0.0,1.7,14.8,0.0,18.75,6.9,8.11,22.37,0.8,26.0,15.3,4.7,29.23,0.65,12.0,0.0,0.0,0.0,12.25,0.0
1965-11-01,0.0,10.4,0.0,0.17,1.6,9.6,0.0,19.91,23.0,0.01,20.98,1.0,27.8,22.3,0.0,72.11,2.37,5.5,0.0,0.0,0.0,27.6,0.0
1965-12-01,0.0,151.7,4.0,2.63,40.6,104.2,1.8,153.51,132.1,80.73,157.74,32.1,201.6,136.6,35.3,53.8,26.57,109.5,0.0,1.7,0.2,43.5,0.0
1966-01-01,8.5,110.3,7.0,46.0,14.1,59.3,0.0,108.7,62.2,59.31,140.92,4.6,92.4,100.4,26.0,123.9,51.8,79.5,0.0,0.0,0.0,70.9,7.0
1966-02-01,52.8,184.9,67.3,93.7,73.7,150.3,0.0,125.69,97.6,112.4,193.78,81.0,168.7,134.1,89.2,157.01,28.2,145.5,22.64,0.0,0.31,133.1,38.2
1966-03-01,52.5,64.6,42.0,40.8,60.5,52.2,4.5,55.64,81.9,101.1,78.73,34.0,88.4,80.4,49.6,143.21,27.8,67.5,0.0,0.0,1.01,52.7,6.0
1966-04-01,0.0,10.6,0.0,9.3,0.7,3.5,1.4,17.01,8.8,9.3,23.28,0.01,11.4,8.1,0.0,60.22,4.47,5.0,0.0,0.0,0.2,8.0,0.0
1966-05-01,35.0,45.1,19.83,25.21,33.1,44.6,9.3,12.04,68.0,42.1,7.45,26.42,35.0,33.1,30.0,7.94,0.0,39.5,17.5,1.7,0.5,24.4,20.9
1966-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.68,0.0,0.0
1966-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966-08-01,0.0,4.5,0.0,0.0,0.0,0.0,0.0,6.56,0.0,1.5,2.71,0.0,0.0,2.66,0.0,0.97,0.01,0.0,0.0,0.0,0.2,6.3,0.0
1966-09-01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.58,1.2,1.5,0.37,0.0,5.3,4.2,0.0,29.69,0.01,5.0,0.0,0.0,0.0,1.0,0.0
1966-10-01,7.5,43.3,5.4,10.3,39.15,32.3,21.3,36.47,68.81,54.1,44.18,6.1,34.8,39.5,35.2,25.44,36.81,61.0,15.0,2.2,0.2,32.2,17.8
1966-11-01,0.0,79.7,6.0,23.6,26.03,64.3,0.0,67.48,95.0,46.7,86.01,14.01,68.8,124.5,23.0,8.34,11.1,79.5,7.1,0.3,0.01,108.6,10.6
1966-12-01,0.0,55.01,0.0,14.5,22.05,88.6,0.0,70.07,68.8,68.2,97.31,23.01,74.9,76.4,9.0,46.27,15.55,69.5,3.0,0.0,0.01,43.26,3.7
1967-01-01,107.8,103.8,108.8,88.4,115.64,108.5,55.8,98.88,79.1,93.2,167.94,38.12,69.6,98.2,98.5,187.71,56.0,119.5,83.7,11.22,1.82,128.3,50.3
1967-02-01,186.4,161.0,173.35,181.3,148.01,131.6,79.69,99.71,132.5,128.2,160.04,106.8,128.3,156.4,150.6,97.94,160.15,178.5,42.63,0.08,0.63,78.1,133.6
1967-03-01,245.6,220.2,167.55,185.3,81.65,177.8,80.6,229.99,126.6,121.4,211.46,87.8,180.6,230.8,77.36,161.47,96.63,173.5,50.786,2.42,0.03,191.8,91.1
1967-04-01,20.9,64.5,39.4,21.4,20.0,48.5,0.0,92.72,33.9,76.2,85.0,29.3,39.5,42.5,27.5,0.05,46.2,72.5,0.0,0.01,0.02,53.8,7.5
1967-05-01,0.0,13.1,1.3,17.4,7.84,6.3,0.05,15.43,2.0,5.5,11.17,2.3,7.4,20.6,7.7,25.14,0.08,29.5,0.0,0.0,0.0,0.5,0.0
