date,precipitacion_la_raya_mm,precipitacion_llalli_mm,precipitacion_macusani_mm,precipitacion_sicuani_mm,precipitacion_ccatcca_mm,precipitacion_granja_kayra_mm,precipitacion_paruro_mm,precipitacion_paucartambo_mm,precipitacion_pisac_mm,precipitacion_pomacanchi_mm,precipitacion_urubamba_mm,precipitacion_cirialo_mm,precipitacion_curahuasi_mm,precipitacion_machupicchu_mm,precipitacion_quillabamba_mm,precipitacion_vilcabamba_mm,precipitacion_la_quebrada_mm,precipitacion_huyro_mm,precipitacion_chontachaca_mm,precipitacion_pakitza_mm,precipitacion_quincemil_mm
1966-08-01,0.0,0.0,4.0,12.0,8.2,1.7,4.1,2.0,6.9,2.0,10.3,30.1,4.0,30.0,4.9,19.2,12.0,27.6,149.0,6.0,200.2
1966-09-01,14.0,14.0,12.0,50.0,26.1,31.9,39.7,5.0,17.9,24.0,53.5,49.4,18.8,37.0,40.8,107.2,65.0,40.1,248.0,66.0,229.2
1966-10-01,58.0,93.0,70.0,162.0,106.7,59.7,65.1,20.0,12.5,68.0,122.5,272.2,136.4,171.2,174.4,206.4,182.0,207.2,514.0,257.0,515.8
1966-11-01,124.0,103.0,50.0,118.0,86.5,65.2,122.6,65.0,17.4,65.0,86.2,216.0,140.6,225.0,141.1,73.0,109.0,226.8,402.0,187.0,519.4
1966-12-01,172.0,131.0,86.0,134.0,39.6,71.4,82.7,70.0,34.1,188.0,56.5,135.3,52.6,247.7,168.2,146.5,237.0,267.8,608.0,248.0,600.4
1967-01-01,35.0,65.0,31.0,75.0,56.1,59.1,232.0,97.0,44.3,51.0,37.9,445.9,87.7,286.8,120.8,58.0,109.0,307.7,316.0,220.0,1025.7
1967-02-01,181.0,117.0,96.0,130.0,131.4,118.4,408.5,109.0,67.5,192.0,106.0,172.9,115.5,285.8,157.1,152.4,157.0,359.8,556.0,374.0,468.2
1967-03-01,203.0,152.0,93.0,169.0,113.5,140.3,541.8,94.0,80.1,163.0,43.5,266.0,252.1,396.3,277.5,405.2,265.0,395.9,731.0,314.0,675.7
1967-04-01,45.0,36.0,5.0,44.0,38.0,19.0,22.2,70.0,5.0,16.0,37.7,93.0,66.6,115.3,33.4,136.0,69.0,166.8,352.0,89.0,136.6
1967-05-01,6.0,13.0,16.0,18.0,26.0,1.8,3.0,42.0,15.2,2.0,13.0,90.0,15.6,46.9,10.3,23.4,32.0,38.6,314.0,197.0,285.7
1967-06-01,3.0,0.0,0.0,11.0,0.0,0.6,0.0,11.0,6.8,6.0,0.5,1.5,0.2,7.0,9.5,4.0,9.0,20.5,393.0,36.0,267.6
1967-07-01,12.0,8.0,6.0,32.0,19.0,11.0,0.0,7.0,18.4,54.0,33.5,0.0,14.7,62.9,57.2,2.0,44.0,29.8,497.0,35.0,302.3
1967-08-01,71.0,24.0,19.0,39.0,7.6,19.8,18.3,28.0,12.8,42.0,0.0,52.0,6.3,83.1,29.5,10.0,46.0,45.9,255.0,110.0,302.0
1967-09-01,108.0,47.0,41.0,51.0,8.5,32.8,14.2,38.0,12.4,81.0,0.0,86.6,15.3,114.2,49.6,39.2,58.0,51.8,447.0,63.0,118.7
1967-10-01,67.0,55.0,67.0,60.0,47.4,70.9,72.2,31.0,34.7,97.0,11.5,234.0,68.0,293.4,102.0,139.6,282.0,202.3,493.0,506.0,518.4
1967-11-01,43.0,13.0,57.0,58.0,50.7,57.1,46.5,61.0,51.6,75.0,66.0,147.0,35.5,107.7,72.5,78.0,171.0,132.4,425.0,206.0,487.0
1967-12-01,167.0,153.0,86.0,142.0,117.0,124.9,259.1,163.0,56.3,178.0,47.0,564.0,154.5,288.9,151.2,85.7,267.0,266.7,681.0,253.0,662.4
1968-01-01,164.0,181.0,47.0,131.0,135.7,149.4,497.6,100.0,106.3,136.0,63.0,231.0,139.4,350.4,295.5,281.9,215.0,446.2,565.0,243.0,998.3
1968-02-01,105.0,240.0,104.0,185.0,141.5,103.2,514.5,62.0,146.6,135.0,65.1,278.3,112.1,399.1,214.9,186.7,182.0,403.5,636.0,147.0,987.9
1968-03-01,130.0,103.0,44.0,289.0,69.0,84.5,306.7,88.0,30.2,140.0,74.0,126.4,135.6,353.1,196.9,196.2,243.0,257.8,829.0,286.0,581.3
1968-04-01,35.0,20.0,15.0,67.0,49.5,34.6,0.0,69.0,15.4,36.0,28.0,90.0,14.5,107.1,69.4,110.7,92.0,121.9,487.0,107.0,371.1
1968-05-01,28.0,2.0,0.0,5.0,0.0,6.3,0.0,2.0,5.8,15.0,0.0,0.0,0.5,31.0,0.0,18.0,48.0,35.5,472.0,135.0,133.6
1968-06-01,109.0,8.0,0.0,5.0,0.0,5.3,0.0,21.0,9.1,32.0,0.0,0.0,0.0,30.3,0.0,2.0,29.0,21.5,406.0,142.0,291.7
1968-07-01,0.0,0.0,19.0,26.0,0.5,30.9,21.5,3.0,19.1,12.0,43.5,29.0,6.7,132.4,21.8,0.0,16.0,37.2,292.0,58.0,272.5
1968-08-01,7.0,3.0,32.0,39.0,15.5,8.6,4.0,1.0,5.1,11.0,16.0,39.8,5.8,80.6,54.5,10.0,25.0,43.0,193.0,27.0,527.0
1968-09-01,31.0,5.0,27.0,32.0,3.0,16.2,25.4,10.0,11.7,36.0,11.0,49.0,4.7,65.4,38.6,82.5,68.0,73.0,333.0,75.0,365.2
1968-10-01,17.0,44.0,107.0,73.0,39.5,84.6,49.8,6.0,12.5,52.0,0.0,64.8,45.1,196.9,91.1,76.8,157.0,108.6,513.0,276.0,890.7
1968-11-01,139.0,120.0,114.0,163.0,75.5,86.4,190.1,48.0,93.8,87.0,91.5,142.8,131.5,313.3,146.6,88.9,98.0,277.0,353.0,147.0,410.0
1968-12-01,143.0,94.0,157.0,76.0,58.5,54.6,91.7,31.0,28.8,152.0,12.5,295.7,61.1,209.8,168.5,57.7,167.0,191.2,497.0,224.0,1557.5
1969-01-01,251.0,137.0,165.0,145.0,111.7,144.2,534.1,92.0,113.8,186.0,89.5,269.5,100.7,254.8,191.4,89.7,293.0,266.2,790.0,241.0,887.5
1969-02-01,160.0,73.0,113.0,140.0,133.2,77.8,369.9,147.0,56.8,110.0,35.0,204.1,115.4,260.1,124.6,182.0,206.0,313.1,487.0,267.0,783.1
1969-03-01,72.0,54.0,47.0,154.0,77.5,86.6,465.3,34.0,124.3,118.0,16.0,210.5,226.9,308.9,197.9,233.2,206.0,255.9,862.0,217.0,436.0
1969-04-01,31.0,18.0,37.0,79.0,31.5,15.3,16.3,72.0,53.1,58.0,17.0,13.0,73.6,262.8,128.9,120.8,100.0,211.9,544.0,347.0,435.5
1969-05-01,44.0,0.0,0.0,14.0,0.0,3.2,0.0,11.0,5.0,23.0,0.0,57.0,0.8,59.0,51.5,38.0,64.0,146.0,473.0,152.0,275.4
1969-06-01,0.0,1.0,24.0,13.0,3.0,2.6,3.2,0.0,20.3,1.0,0.0,73.0,3.3,110.7,121.1,2.5,31.0,84.6,298.0,119.0,293.3
1969-07-01,65.0,0.0,8.0,18.0,10.0,7.2,0.0,2.0,15.2,78.0,3.0,11.1,3.5,15.2,5.9,12.0,46.0,21.4,383.0,87.0,347.9
1969-08-01,1.0,1.0,0.0,12.0,2.0,3.9,0.0,51.0,8.2,21.0,0.0,0.9,2.5,67.4,0.0,27.8,18.0,13.1,205.0,31.0,263.8
1969-09-01,10.0,24.0,7.0,28.0,23.5,22.8,0.0,42.0,20.6,19.0,3.0,55.8,9.0,91.2,35.7,68.0,54.0,70.3,316.0,49.0,257.5
1969-10-01,132.0,70.0,22.0,90.0,19.0,27.1,10.2,52.0,25.9,91.0,5.0,114.6,93.9,141.4,60.2,167.3,228.0,156.3,577.0,311.0,472.2
1969-11-01,102.0,38.0,43.0,88.0,16.5,54.7,92.5,48.0,52.6,66.0,7.0,123.4,90.2,159.4,138.2,179.3,114.0,225.8,380.0,154.0,542.1
1969-12-01,82.0,94.0,53.0,93.0,99.2,72.7,251.8,77.0,86.6,93.0,43.0,264.0,155.4,284.0,183.9,261.3,184.0,251.1,489.0,250.0,676.6
1970-01-01,170.0,202.0,80.0,186.0,114.0,169.3,121.2,179.9,123.2,170.0,74.0,193.0,171.4,327.6,272.1,299.9,249.0,486.4,652.0,177.0,1232.0
1970-02-01,40.0,162.0,75.0,153.0,64.2,92.6,79.8,154.0,225.0,99.0,15.0,201.5,74.2,328.8,69.4,189.1,125.0,266.8,514.0,157.0,970.7
1970-03-01,129.0,161.0,66.0,155.0,68.6,129.7,115.0,120.0,321.6,121.0,15.0,445.0,73.4,287.7,231.3,214.1,196.0,239.6,716.0,231.0,925.0
1970-04-01,68.0,51.0,76.0,61.0,86.0,86.1,65.2,60.9,50.1,69.0,15.3,130.3,44.6,268.4,146.9,126.6,97.0,292.6,511.0,402.0,646.5
1970-05-01,33.0,11.0,0.0,16.0,10.0,2.3,6.0,16.1,10.7,31.0,0.0,38.2,10.8,108.1,69.5,39.8,93.0,163.6,359.0,207.0,408.9
1970-06-01,0.0,0.0,3.0,5.0,6.0,1.1,1.5,1.7,9.9,10.0,0.0,57.9,1.2,27.8,17.6,2.6,20.0,44.9,377.0,76.0,590.3
1970-07-01,181.0,0.0,3.0,5.0,1.0,3.7,14.8,10.5,10.7,147.0,2.5,14.8,6.6,79.2,14.7,12.6,132.0,59.7,715.0,129.0,203.2
1970-08-01,0.0,0.0,0.0,5.0,0.0,3.4,5.0,2.2,13.9,21.0,0.0,0.8,0.0,34.0,0.0,29.1,7.0,36.5,90.0,3.0,382.6
1970-09-01,33.0,17.0,39.0,31.0,29.5,42.1,40.2,33.6,62.6,100.0,16.3,1.8,27.1,107.8,36.5,105.6,103.0,90.5,340.0,116.0,412.5
1970-10-01,14.0,14.0,33.0,59.0,25.0,46.1,50.8,37.8,79.5,60.0,35.5,220.7,54.2,160.0,105.1,153.1,126.0,137.6,508.0,155.0,899.2
1970-11-01,2.0,5.0,17.0,58.0,41.5,48.2,59.4,36.8,18.6,49.0,32.5,100.5,39.6,117.8,65.5,119.6,60.0,93.9,381.0,142.0,357.0
1970-12-01,107.0,182.0,111.0,200.0,119.5,177.4,250.9,176.7,246.9,81.0,158.0,344.2,130.5,283.2,268.7,156.0,175.0,393.4,553.0,219.0,1391.7
1971-01-01,93.0,153.0,88.0,204.0,81.0,128.9,132.4,121.3,127.2,114.0,106.0,315.0,106.1,286.1,194.9,217.0,182.0,376.9,457.0,97.0,1269.4
1971-02-01,77.0,289.0,121.0,176.0,157.0,161.6,156.9,153.1,234.1,161.0,100.5,253.6,100.4,346.8,243.9,178.0,128.0,516.4,604.0,199.0,934.8
1971-03-01,62.0,70.0,56.0,78.0,63.2,83.6,77.6,202.4,68.5,132.0,57.0,117.4,96.2,256.3,156.1,193.0,183.0,278.4,693.0,237.0,642.1
1971-04-01,15.0,21.0,19.0,78.0,40.0,40.0,47.5,94.7,50.9,33.0,16.5,106.5,76.0,161.2,66.4,131.0,58.0,129.2,409.0,31.0,305.3
1971-05-01,10.0,0.0,6.0,16.0,0.5,1.5,0.0,6.2,8.2,3.0,0.0,60.4,2.0,20.2,35.2,19.0,18.0,48.7,327.0,140.0,297.1
1971-06-01,0.0,0.0,2.0,5.0,2.5,0.1,2.8,13.1,9.6,1.0,0.0,10.2,0.0,37.2,64.6,6.0,20.0,46.0,336.0,53.0,200.7
1971-07-01,9.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,6.6,20.0,0.0,0.0,0.0,16.0,0.0,39.0,35.0,7.8,392.0,57.0,223.5
1971-08-01,39.0,4.0,9.0,5.0,0.0,5.7,0.0,32.9,12.2,35.0,3.0,58.4,0.0,70.0,3.1,44.0,47.0,20.0,295.0,61.0,198.3
1971-09-01,16.0,0.0,1.0,5.0,2.0,3.5,8.4,26.4,5.0,21.0,2.0,12.4,2.0,24.3,85.7,108.0,44.0,46.8,321.0,54.0,596.3
1971-10-01,24.0,22.0,41.0,5.0,29.1,55.7,49.0,53.8,44.6,53.0,32.0,29.0,38.0,120.3,49.5,119.0,90.0,97.8,517.0,110.0,390.6
1971-11-01,43.0,43.0,36.0,14.0,59.9,51.0,48.7,56.8,19.6,62.0,41.0,76.0,84.8,115.2,83.4,165.0,60.0,120.9,426.0,185.0,437.1
1971-12-01,94.0,140.0,100.0,83.0,64.1,127.5,141.6,130.4,39.3,116.0,99.0,197.0,58.2,246.5,105.9,229.0,140.0,288.1,493.0,166.0,674.0
1972-01-01,243.0,272.0,74.0,168.0,128.6,192.1,204.8,182.6,90.6,206.0,138.3,250.9,117.3,381.1,241.7,165.0,311.0,454.6,739.0,133.0,449.7
1972-02-01,158.0,118.0,102.0,88.0,50.0,66.8,95.8,156.3,46.9,103.0,62.1,207.0,121.7,226.7,175.6,287.0,219.0,310.9,443.0,316.0,761.7
1972-03-01,128.0,133.0,52.0,108.0,64.0,57.2,98.1,226.3,112.4,71.0,73.8,168.5,98.5,343.7,160.4,313.0,166.0,256.6,322.0,263.0,720.9
1972-04-01,53.0,55.0,7.0,69.0,18.4,29.7,41.9,31.4,25.4,63.0,29.2,87.5,48.5,172.4,57.8,141.0,114.0,188.9,470.0,351.0,421.4
1972-05-01,7.0,3.0,4.0,16.0,7.3,3.4,5.0,2.9,8.2,8.0,10.5,18.0,0.4,62.8,24.3,19.0,28.0,26.0,297.0,122.0,261.1
1972-06-01,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8,5.0,0.0,8.8,2.5,0.0,2.2,0.0,3.0,0.0,1.5,325.0,24.0,235.6
1972-07-01,0.0,9.0,1.0,26.0,11.3,6.5,8.8,33.9,10.8,1.0,11.0,0.0,12.9,31.8,0.0,10.0,3.0,46.7,272.0,10.0,539.1
1972-08-01,35.0,10.0,7.0,40.0,28.4,27.3,18.7,43.6,15.1,38.0,19.3,50.0,57.9,94.1,102.4,18.0,145.0,103.2,579.0,239.0,429.8
1972-09-01,58.0,12.0,11.0,5.0,9.8,12.2,28.0,49.4,15.4,75.0,28.9,0.0,12.6,91.9,20.9,118.0,29.0,63.6,566.0,56.0,380.9
1972-10-01,79.0,45.0,32.0,18.0,14.6,7.9,28.2,19.6,8.3,74.0,16.2,54.6,20.9,117.6,41.9,153.0,193.0,101.0,651.0,207.0,1000.7
1972-11-01,73.0,41.0,30.0,46.0,51.6,50.2,57.3,37.0,24.5,61.0,69.0,154.8,53.3,262.3,203.9,84.0,116.0,279.8,382.0,150.0,789.4
1972-12-01,183.0,128.0,66.0,106.0,128.6,100.2,107.8,58.8,66.0,222.0,103.4,251.8,80.6,262.9,174.5,79.0,311.0,226.5,683.0,305.0,572.4
1973-01-01,80.0,256.0,71.0,154.0,162.1,221.3,251.4,165.3,215.2,74.0,170.6,239.9,87.7,301.1,271.0,194.0,88.0,410.7,256.0,115.0,1183.3
1973-02-01,149.0,156.0,121.0,149.0,84.6,120.9,241.8,113.1,166.4,179.0,91.9,258.6,74.9,449.2,209.3,151.0,113.0,386.6,900.0,203.0,832.7
1973-03-01,146.0,161.0,87.0,182.0,131.2,99.6,149.7,79.7,115.9,93.0,98.4,209.2,128.9,380.0,192.5,206.0,174.0,331.8,706.0,254.0,628.1
1973-04-01,63.0,62.0,31.0,94.0,51.0,75.2,61.0,54.5,52.7,65.0,60.2,23.2,43.7,311.3,155.7,141.0,86.0,275.8,477.0,444.0,452.0
