date,precipitacion_aguadablanca_mm,precipitacion_casca_mm,precipitacion_characato_mm,precipitacion_jollojello_mm,precipitacion_lluclla_mm,precipitacion_lluta_mm
1979-11-01,,80.21,,13.5,0.0,
1979-12-01,,104.0,,40.02,0.0,
1980-01-01,,104.01,,29.5,0.02,
1980-02-01,,67.8,,9.8,16.6,
1980-03-01,,190.92,,78.2,1.2,
1980-04-01,,11.4,,20.51,0.0,
1980-05-01,,0.32,,6.2,0.0,
1980-06-01,,0.0,,0.0,0.0,
1980-07-01,,5.41,,13.4,0.0,
1980-08-01,,4.62,,0.0,0.0,
1980-09-01,,29.41,,6.5,0.0,
1980-10-01,,106.51,,47.2,0.4,
1980-11-01,,28.2,,5.6,0.0,
1980-12-01,,83.02,,22.61,0.0,
1981-01-01,,239.1,,63.91,1.8,
1981-02-01,,257.7,,207.72,0.81,
1981-03-01,,103.91,,99.41,0.0,
1981-04-01,,63.71,,67.5,3.3,
1981-05-01,,1.6,,0.0,0.0,
1981-06-01,,0.0,,0.0,0.0,
1981-07-01,,0.0,,0.0,0.0,
1981-08-01,,47.4,,,0.0,
1981-09-01,,23.1,,,0.0,
1981-10-01,,52.81,,,0.0,
1981-11-01,,,,,0.0,
1981-12-01,,,,,0.21,
1982-01-01,,,,,1.2,
1982-02-01,,,,,4.2,
1982-03-01,,,,,1.8,
1982-04-01,,,,,0.0,
1982-05-01,,,,,0.0,
1982-07-01,,,,,0.0,
1982-09-01,,,,,0.0,
1982-10-01,,,,,0.4,
1982-11-01,,,,,0.71,
1982-12-01,,,,,1.9,
1983-01-01,,,,,0.0,
1983-02-01,,,,,9.1,
1983-03-01,,,,,1.5,
1983-04-01,,,,,0.0,
1983-06-01,,,,,0.0,
1983-07-01,,,,,0.0,
1983-08-01,,,,,0.0,
1983-09-01,,,,,0.0,
1983-10-01,,,,,0.0,
1983-11-01,,,,,0.0,
1983-12-01,,,,,0.0,
1984-01-01,,,,,6.8,
1984-02-01,,,,,12.5,
1984-03-01,,,,,51.2,
1984-04-01,,,,,0.0,
1984-05-01,,,,,0.0,
1984-06-01,,,,,0.0,
1984-07-01,,,,,0.0,
1984-08-01,,,,,0.6,
1984-09-01,,,,,0.0,
1984-10-01,,,,,0.0,
1984-11-01,,,,,0.3,
1984-12-01,,,,,0.0,
1985-02-01,,,,,2.1,
1985-03-01,,,,,6.4,
1985-04-01,,,,,0.6,
1985-05-01,,,,,0.0,
1985-06-01,,,,,0.01,
1985-07-01,,,,,0.0,
1985-08-01,,,,,0.0,
1985-09-01,,,,,0.0,
1985-10-01,,,,,0.0,
1985-12-01,,,,,9.0,
1986-01-01,,,,,4.72,
1986-02-01,,,,,56.71,
1986-03-01,,,,,0.31,
1986-04-01,,,,,0.01,
1986-05-01,,,,,0.5,
1986-06-01,,,,,0.0,
1986-07-01,,,,,0.0,
1986-08-01,,,,,1.4,
1986-09-01,,,,,0.0,
1986-10-01,,,,,0.0,
1986-11-01,,,,,1.6,
1986-12-01,,,,,5.91,
1987-02-01,,,,,1.8,
1987-03-01,,,,,1.4,
1987-04-01,,,,,0.0,
1987-05-01,,,,,0.01,
1987-06-01,,,,,0.0,
1987-07-01,,,,,0.01,
1987-08-01,,,,,0.0,
1987-09-01,,,,,0.0,
1987-10-01,,,,,1.4,
1987-11-01,,,,,0.0,
1987-12-01,,,,,0.0,
1988-01-01,,,,,3.21,
1988-05-01,,,,,0.0,
1988-06-01,,,,,0.0,
1988-07-01,,,,,0.0,
1988-09-01,,,,,0.0,
1988-10-01,,,,,0.0,
1988-11-01,,,,,0.0,
1988-12-01,,,,,0.0,
1989-01-01,,,,,0.02,
1991-01-01,94.9,,6.1,,,
1991-02-01,43.6,,1.84,,,
1991-03-01,74.4,,10.6,,,
1991-04-01,8.2,,1.0,,,
1991-05-01,0.0,,,,,
1991-06-01,40.4,,1.5,,,
1991-07-01,0.0,,0.0,,,
1991-08-01,0.0,,0.0,,,
1991-09-01,0.0,,0.0,,,
1991-10-01,0.0,,0.0,,,
1991-11-01,11.1,,0.0,,,
1991-12-01,0.4,,0.0,,,
1992-01-01,4.8,,0.0,,,
1992-02-01,0.0,,4.4,,,
1992-03-01,0.0,,0.0,,,
1992-04-01,0.0,,1.5,,,
1992-05-01,0.0,,0.0,,,
1992-06-01,0.8,,0.0,,,
1992-07-01,0.0,,0.0,,,
1992-08-01,0.0,,0.0,,,
1992-09-01,0.0,,0.0,,,
1992-10-01,3.3,,0.0,,,
1992-11-01,7.6,,0.0,,,
1992-12-01,18.4,,39.0,,,
1993-01-01,116.0,,64.1,,,
1993-02-01,35.5,,0.0,,,
1993-03-01,36.5,,2.9,,,
1993-04-01,7.5,,0.0,,,
1993-05-01,0.0,,0.0,,,
1993-06-01,0.3,,0.0,,,
1993-07-01,0.0,,0.0,,,
1993-08-01,2.5,,3.0,,,
1993-09-01,3.5,,0.0,,,
1993-10-01,0.8,,,,,
1993-11-01,0.61,,,,,
1993-12-01,198.7,,,,,
1994-01-01,76.6,,,,,
1994-02-01,78.2,,,,,
1994-03-01,22.4,,,,,
1994-04-01,8.6,,,,,
1994-05-01,0.8,,,,,
1994-06-01,0.8,,,,,
1994-07-01,0.0,,0.0,,,
1994-08-01,0.0,,0.0,,,
1994-09-01,0.0,,0.0,,,
1994-10-01,0.0,,0.0,,,
1994-11-01,2.0,,0.0,,,
1994-12-01,18.5,,3.7,,,
1995-01-01,42.3,,100.1,,,
1995-02-01,0.0,,0.0,,,
1995-03-01,94.6,,120.1,,,
1995-04-01,1.6,,0.0,,,
1995-05-01,0.0,,0.0,,,
1995-06-01,0.0,,0.0,,,
1995-07-01,0.0,,0.0,,,
1995-08-01,0.0,,0.0,,,
1995-09-01,0.0,,0.0,,,
1995-10-01,0.0,,0.0,,,
1995-11-01,12.3,,0.2,,,
1995-12-01,5.6,,0.0,,,
1996-01-01,10.51,,44.7,,,
1996-02-01,86.9,,35.4,,,
1996-03-01,31.1,,1.8,,,
1996-04-01,4.2,,0.0,,,
1996-05-01,1.0,,0.0,,,
1996-06-01,0.0,,0.0,,,
1996-07-01,0.0,,0.0,,,
1996-08-01,1.5,,0.0,,,
1996-09-01,0.0,,0.0,,,
1996-10-01,0.0,,0.0,,,
1996-11-01,9.1,,0.0,,,
1996-12-01,10.2,,0.0,,,
1997-01-01,57.5,,54.9,,,
1997-02-01,101.1,,90.31,,,
1997-03-01,53.1,,95.6,,,
1997-04-01,0.9,,0.0,,,
1997-05-01,0.0,,0.0,,,
1997-06-01,0.0,,0.0,,,
1997-07-01,0.0,,0.0,,,
1997-08-01,19.3,,,,,
1997-09-01,28.1,,,,,
1997-10-01,0.0,,,,,
1997-11-01,6.0,,,,,
1997-12-01,16.9,,,,,
1998-01-01,78.9,,,,,
1998-02-01,39.9,,,,,
1998-03-01,6.1,,,,,
1998-04-01,0.9,,,,,
1998-05-01,0.0,,,,,
1998-06-01,0.0,,,,,
1998-07-01,0.0,,,,,
1998-08-01,0.0,,,,,
1998-09-01,0.0,,,,,
1998-10-01,0.0,,,,,
1998-11-01,3.9,,,,,
1998-12-01,14.9,,,,,
1999-01-01,13.2,,,,,
1999-02-01,113.9,,,,,
1999-03-01,121.5,,,,,
1999-04-01,17.5,,,,,
1999-05-01,0.0,,,,,
1999-06-01,0.0,,,,,
1999-07-01,0.0,,,,,
1999-08-01,0.0,,,,,
1999-09-01,3.5,,,,,
1999-10-01,13.2,,,,,
1999-11-01,0.0,,,,,
1999-12-01,27.8,,,,,
2000-01-01,97.6,,,,,
2000-02-01,42.1,,,,,
2000-03-01,48.1,,,,,
