date,caudal_ingenio_m3s,volumen_ingenio_mmc,caudal_aja_m3s,volumen_aja_mmc,caudal_lastrancas_m3s,volumen_lastrancas_mmc,caudal_tierrasblancas_m3s,volumen_tierrasblancas_mmc,caudal_taruga_m3s,volumen_taruga_mmc,caudal_chauchilla_m3s,volumen_chauchilla_mmc,caudal_socos_m3s,volumen_socos_mmc,caudal_urupalla_m3s,volumen_urupalla_mmc,caudal_grande_m3s,volumen_grande_mmc,caudal_viscas_m3s,volumen_viscas_mmc,caudal_palpa_m3s,volumen_palpa_mmc,caudal_santacruz_m3s,volumen_santacruz_mmc
1987-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-01-01,2.31,5.99,1.184,3.07,0.585,1.52,0.203,0.53,1.25,3.24,0.044,0.11,0.0,0.0,NA,NA,7.007,18.16,1.105,2.86,0.661,1.71,0.112,0.29
1988-02-01,11.517,29.85,3.812,9.88,1.894,4.91,1.563,4.05,0.831,2.15,0.0,0.0,0.071,0.18,NA,NA,34.94,90.56,4.642,12.03,4.142,10.74,0.138,0.36
1988-03-01,4.603,11.93,1.399,3.63,0.206,0.53,0.286,0.74,0.016,0.04,0.013,0.03,0.1,0.26,NA,NA,8.036,20.83,1.48,3.84,1.533,3.97,0.067,0.17
1988-04-01,0.775,2.01,1.044,2.71,0.01,0.03,0.029,0.08,0.009,0.02,0.0,0.0,0.0,0.0,NA,NA,5.279,13.68,0.132,0.34,0.382,0.99,0.009,0.02
1988-05-01,0.448,1.16,0.164,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.185,3.07,0.03,0.08,0.0,0.0,0.0,0.0
1988-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0
1988-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-01,0.349,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.094,2.84,0.0,0.0,0.0,0.0,0.0,0.0
1989-01-01,2.73,7.08,0.168,0.44,0.0,0.0,0.198,0.51,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,5.373,13.93,0.19,0.49,0.223,0.58,0.112,0.29
1989-02-01,35.997,93.3,9.111,23.62,4.402,11.41,4.179,10.83,2.798,7.25,1.257,3.26,1.167,3.02,NA,NA,29.643,76.83,6.165,15.98,8.098,20.99,2.194,5.69
1989-03-01,19.985,51.8,2.002,5.19,1.038,2.69,0.38,0.98,0.922,2.39,0.081,0.21,0.141,0.37,NA,NA,29.137,75.52,6.113,15.84,10.012,25.95,1.282,3.32
1989-04-01,9.867,25.58,1.169,3.03,0.46,1.19,0.144,0.37,0.333,0.86,0.143,0.37,0.0,0.0,NA,NA,17.263,44.75,2.117,5.49,3.999,10.37,1.526,3.96
1989-05-01,2.679,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,2.096,5.43,0.169,0.44,0.129,0.33,0.027,0.07
1989-06-01,2.088,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.309,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1989-07-01,0.705,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.348,0.9,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-01,0.297,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-01,0.097,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.45,1.17,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.041,0.11,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-01,3.922,10.17,1.002,2.6,0.0,0.0,0.146,0.38,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.524,3.95,0.677,1.75,0.462,1.2,0.0,0.0
1990-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-11-01,0.482,1.25,0.05,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.453,1.17,0.14,0.36,0.056,0.15,0.0,0.0
1990-12-01,4.15,10.76,0.652,1.69,1.835,4.76,0.101,0.26,0.503,1.3,0.369,0.96,0.016,0.04,NA,NA,2.184,5.66,1.219,3.16,0.881,2.28,0.044,0.11
1991-01-01,4.762,12.34,1.44,3.73,1.119,2.9,0.535,1.39,0.312,0.81,0.152,0.39,0.0,0.0,NA,NA,2.891,7.49,2.288,5.93,1.648,4.27,0.0,0.0
1991-02-01,0.0,0.0,0.121,0.31,0.105,0.27,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,2.976,7.71,0.736,1.91,0.493,1.28,0.0,0.0
1991-03-01,10.302,26.7,3.019,7.83,2.697,6.99,0.73,1.89,0.516,1.34,0.07,0.18,0.0,0.0,NA,NA,8.773,22.74,5.023,13.02,4.533,11.75,0.039,0.1
1991-04-01,0.291,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.108,2.87,0.303,0.79,0.202,0.52,0.0,0.0
1991-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.067,0.17,0.0,0.0,0.0,0.0,0.0,0.0
1991-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-11-01,0.0,0.0,0.05,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-12-01,0.0,0.0,0.652,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.07,0.18,0.0,0.0
1992-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.135,0.35,0.0,0.0,0.0,0.0,0.0,0.0
1992-02-01,0.31,0.8,0.116,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.067,0.17,0.0,0.0,0.0,0.0,0.0,0.0
1992-03-01,0.085,0.22,0.016,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.133,0.34,0.0,0.0,0.0,0.0,0.039,0.1
1992-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.123,0.32,0.0,0.0,0.0,0.0,0.0,0.0
1992-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-01-01,2.946,7.64,1.251,3.24,1.776,4.6,0.244,0.63,0.645,1.67,0.112,0.29,0.0,0.0,NA,NA,1.231,3.19,0.665,1.72,0.415,1.08,0.447,1.16
1993-02-01,3.404,8.82,2.689,6.97,1.918,4.97,1.893,4.91,0.451,1.17,0.086,0.22,0.036,0.09,NA,NA,3.214,8.33,1.154,2.99,1.146,2.97,0.844,2.19
1993-03-01,12.592,32.64,4.903,12.71,0.502,1.3,0.423,1.1,13.933,36.11,0.379,0.98,0.0,0.0,NA,NA,6.949,18.01,2.72,7.05,2.858,7.41,0.49,1.27
1993-04-01,2.047,5.31,2.03,5.26,0.0,0.0,0.0,0.0,0.261,0.68,0.0,0.0,0.0,0.0,NA,NA,1.467,3.8,0.402,1.04,0.388,1.01,0.0,0.0
1993-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.053,0.14,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.038,0.1,0.0,0.0,0.0,0.0
1993-12-01,0.641,1.66,0.172,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,2.715,7.04,0.063,0.16,0.0,0.0,0.0,0.0
1994-01-01,88.563,229.56,0.838,2.17,0.735,1.91,48.227,125.0,0.358,0.93,0.0,0.0,0.0,0.0,NA,NA,4.628,12.0,0.375,0.97,0.333,0.86,0.05,0.13
1994-02-01,19.023,49.31,12.088,31.33,12.505,32.41,4.623,11.98,11.018,28.56,0.221,0.57,0.098,0.25,NA,NA,34.054,88.27,8.186,21.22,7.921,20.53,1.931,5.01
1994-03-01,7.114,18.44,7.373,19.11,6.581,17.06,3.155,8.18,3.364,8.72,0.0,0.0,0.0,0.0,NA,NA,14.669,38.02,1.735,4.5,0.0,0.0,0.207,0.54
1994-04-01,4.268,11.06,25.242,65.43,1.481,3.84,0.693,1.8,0.129,0.33,0.0,0.0,0.0,0.0,NA,NA,8.258,21.4,0.562,1.46,0.703,1.82,0.182,0.47
1994-05-01,0.397,1.03,0.0,0.0,0.0,0.0,0.012,0.03,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.969,5.1,0.011,0.03,0.051,0.13,0.0,0.0
1994-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12-01,0.105,0.27,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
