date,caudal_rio_huaura_alco_sayan_m3s,volumen_rio_huaura_alco_sayan_mmc,caudal_natural_rio_huaura_alco_sayan_m3s,volumen_natural_rio_huaura_alco_sayan_mmc,caudal_rio_chico_m3s,volumen_rio_chico_mmc,caudal_rio_pativilca_yanapampa_m3s,volumen_rio_pativilca_yanapampa_mmc,caudal_rio_chancay_huaral_santo_domingo_m3s,volumen_rio_chancay_huaral_santo_domingo_mmc,caudal_laguna_surasaca_m3s,volumen_laguna_surasaca_mmc
1913-05-01,18.5,49.5504,18.5,49.5504,,,,,,,,
1913-06-01,14.5,37.584,14.5,37.584,,,,,,,,
1913-07-01,14.1,37.7654,14.1,37.7654,,,,,,,,
1913-08-01,12.3,32.9443,12.3,32.9443,,,,,,,,
1913-09-01,9.0,23.328,9.0,23.328,,,,,,,,
1913-10-01,14.5,38.8368,14.5,38.8368,,,,,,,,
1913-11-01,22.2,57.5424,22.2,57.5424,,,,,,,,
1913-12-01,19.5,52.2288,19.5,52.2288,,,,,,,,
1914-01-01,32.2,86.2445,32.2,86.2445,,,,,,,,
1914-02-01,27.2,65.8022,27.2,65.8022,,,,,,,,
1914-03-01,62.3,166.8643,62.3,166.8643,,,,,,,,
1914-04-01,121.4,314.6688,121.4,314.6688,,,,,,,,
1914-05-01,24.3,65.0851,24.3,65.0851,,,,,,,,
1914-06-01,18.1,46.9152,18.1,46.9152,,,,,,,,
1914-07-01,11.8,31.6051,11.8,31.6051,,,,,,,,
1914-08-01,10.0,26.784,10.0,26.784,,,,,,,,
1914-09-01,10.0,25.92,10.0,25.92,,,,,,,,
1914-10-01,14.8,39.6403,14.8,39.6403,,,,,,,,
1914-11-01,20.8,53.9136,20.8,53.9136,,,,,,,,
1914-12-01,55.3,148.1155,55.3,148.1155,,,,,,,,
1915-01-01,71.6,191.7734,71.6,191.7734,,,,,,,,
1915-02-01,50.7,122.6534,50.7,122.6534,,,,,,,,
1915-03-01,46.8,125.3491,46.8,125.3491,,,,,,,,
1915-04-01,40.3,104.4576,40.3,104.4576,,,,,,,,
1915-05-01,18.0,48.2112,18.0,48.2112,,,,,,,,
1915-06-01,15.0,38.88,15.0,38.88,,,,,,,,
1915-07-01,13.6,36.4262,13.6,36.4262,,,,,,,,
1915-08-01,13.2,35.3549,13.2,35.3549,,,,,,,,
1915-09-01,17.3,44.8416,17.3,44.8416,,,,,,,,
1915-10-01,16.4,43.9258,16.4,43.9258,,,,,,,,
1915-11-01,26.2,67.9104,26.2,67.9104,,,,,,,,
1915-12-01,29.4,78.745,29.4,78.745,,,,,,,,
1916-01-01,64.6,173.0246,64.6,173.0246,,,,,,,,
1916-02-01,72.9,182.6582,72.9,182.6582,,,,,,,,
1916-03-01,51.2,137.1341,51.2,137.1341,,,,,,,,
1916-04-01,42.0,108.864,42.0,108.864,,,,,,,,
1916-05-01,28.7,76.8701,28.7,76.8701,,,,,,,,
1916-06-01,16.7,43.2864,16.7,43.2864,,,,,,,,
1916-07-01,13.8,36.9619,13.8,36.9619,,,,,,,,
1916-08-01,10.1,27.0518,10.1,27.0518,,,,,,,,
1916-09-01,10.5,27.216,10.5,27.216,,,,,,,,
1916-10-01,12.6,33.7478,12.6,33.7478,,,,,,,,
1916-11-01,14.5,37.584,14.5,37.584,,,,,,,,
1916-12-01,18.7,50.0861,18.7,50.0861,,,,,,,,
1917-01-01,44.3,118.6531,44.3,118.6531,,,,,,,,
1917-02-01,29.7,71.8502,29.7,71.8502,,,,,,,,
1917-03-01,39.3,105.2611,39.3,105.2611,,,,,,,,
1917-04-01,42.4,109.9008,42.4,109.9008,,,,,,,,
1917-05-01,15.1,40.4438,15.1,40.4438,,,,,,,,
1917-06-01,9.6,24.8832,9.6,24.8832,,,,,,,,
1917-07-01,8.8,23.5699,8.8,23.5699,,,,,,,,
1917-08-01,8.7,23.3021,8.7,23.3021,,,,,,,,
1917-09-01,11.5,29.808,11.5,29.808,,,,,,,,
1917-10-01,14.4,38.569,14.4,38.569,,,,,,,,
1917-11-01,29.8,77.2416,29.8,77.2416,,,,,,,,
1917-12-01,39.3,105.2611,39.3,105.2611,,,,,,,,
1918-01-01,58.4,156.4186,58.4,156.4186,,,,,,,,
1918-02-01,86.8,209.9866,86.8,209.9866,,,,,,,,
1918-03-01,78.7,210.7901,78.7,210.7901,,,,,,,,
1918-04-01,45.3,117.4176,45.3,117.4176,,,,,,,,
1918-05-01,27.2,72.8525,27.2,72.8525,,,,,,,,
1918-06-01,22.2,57.5424,22.2,57.5424,,,,,,,,
1918-07-01,16.9,45.265,16.9,45.265,,,,,,,,
1918-08-01,14.9,39.9082,14.9,39.9082,,,,,,,,
1918-09-01,15.2,39.3984,15.2,39.3984,,,,,,,,
1918-10-01,19.2,51.4253,19.2,51.4253,,,,,,,,
1918-11-01,28.0,72.576,28.0,72.576,,,,,,,,
1918-12-01,36.9,98.833,36.9,98.833,,,,,,,,
1919-01-01,28.7,76.8701,28.7,76.8701,,,,,,,,
1919-02-01,52.3,126.5242,52.3,126.5242,,,,,,,,
1919-03-01,59.1,158.2934,59.1,158.2934,,,,,,,,
1919-04-01,43.0,111.456,43.0,111.456,,,,,,,,
1919-05-01,20.7,55.4429,20.7,55.4429,,,,,,,,
1919-06-01,15.7,40.6944,15.7,40.6944,,,,,,,,
1919-07-01,12.8,34.2835,12.8,34.2835,,,,,,,,
1919-08-01,10.8,28.9267,10.8,28.9267,,,,,,,,
1919-09-01,10.2,26.4384,10.2,26.4384,,,,,,,,
1919-10-01,13.9,37.2298,13.9,37.2298,,,,,,,,
1919-11-01,22.7,58.8384,22.7,58.8384,,,,,,,,
1919-12-01,49.7,133.1165,49.7,133.1165,,,,,,,,
1920-01-01,52.2,139.8125,52.2,139.8125,,,,,,,,
1920-02-01,47.6,119.2666,47.6,119.2666,,,,,,,,
1920-03-01,70.7,189.3629,70.7,189.3629,,,,,,,,
1920-04-01,56.0,145.152,56.0,145.152,,,,,,,,
1920-05-01,26.7,71.5133,26.7,71.5133,,,,,,,,
1920-06-01,16.7,43.2864,16.7,43.2864,,,,,,,,
1920-07-01,11.3,30.2659,11.3,30.2659,,,,,,,,
1920-08-01,9.2,24.6413,9.2,24.6413,,,,,,,,
1920-09-01,9.7,25.1424,9.7,25.1424,,,,,,,,
1920-10-01,14.7,39.3725,14.7,39.3725,,,,,,,,
1920-11-01,16.3,42.2496,16.3,42.2496,,,,,,,,
1920-12-01,22.9,61.3354,22.9,61.3354,,,,,,,,
1921-01-01,47.5,127.224,47.5,127.224,,,,,,,,
1921-02-01,56.0,135.4752,56.0,135.4752,,,,,,,,
1921-03-01,61.0,163.3824,61.0,163.3824,,,,,,,,
1921-04-01,46.0,119.232,46.0,119.232,,,,,,,,
1921-05-01,26.0,69.6384,26.0,69.6384,,,,,,,,
1921-06-01,16.5,42.768,16.5,42.768,,,,,,,,
1921-07-01,12.5,33.48,12.5,33.48,,,,,,,,
1921-08-01,10.0,26.784,10.0,26.784,,,,,,,,
1921-09-01,14.0,36.288,14.0,36.288,,,,,,,,
1921-10-01,12.0,32.1408,12.0,32.1408,,,,,,,,
1921-11-01,14.5,37.584,14.5,37.584,,,,,,,,
1921-12-01,28.0,74.9952,28.0,74.9952,,,,,,,,
1922-01-01,29.5,79.0128,29.5,79.0128,,,,,,,,
1922-02-01,47.5,114.912,47.5,114.912,,,,,,,,
1922-03-01,58.5,156.6864,58.5,156.6864,,,,,,,,
1922-04-01,44.0,114.048,44.0,114.048,,,,,,,,
1922-05-01,30.0,80.352,30.0,80.352,,,,,,,,
1922-06-01,12.0,31.104,12.0,31.104,,,,,,,,
1922-07-01,11.8,31.6051,11.8,31.6051,,,,,,,,
1922-08-01,9.6,25.7126,9.6,25.7126,,,,,,,,
1922-09-01,13.0,33.696,13.0,33.696,,,,,,,,
1922-10-01,16.0,42.8544,16.0,42.8544,,,,,,,,
1922-11-01,17.5,45.36,17.5,45.36,,,,,,,,
1922-12-01,34.5,92.4048,34.5,92.4048,,,,,,,,
1923-01-01,50.0,133.92,50.0,133.92,,,,,,,,
1923-02-01,44.0,106.4448,44.0,106.4448,,,,,,,,
1923-03-01,58.0,155.3472,58.0,155.3472,,,,,,,,
1923-04-01,52.5,136.08,52.5,136.08,,,,,,,,
1923-05-01,25.5,68.2992,25.5,68.2992,,,,,,,,
1923-06-01,15.0,38.88,15.0,38.88,,,,,,,,
1923-07-01,11.7,31.3373,11.7,31.3373,,,,,,,,
1923-08-01,8.5,22.7664,8.5,22.7664,,,,,,,,
1923-09-01,14.5,37.584,14.5,37.584,,,,,,,,
1923-10-01,17.5,46.872,17.5,46.872,,,,,,,,
1923-11-01,19.5,50.544,19.5,50.544,,,,,,,,
1923-12-01,38.5,103.1184,38.5,103.1184,,,,,,,,
1924-01-01,38.0,101.7792,38.0,101.7792,,,,,,,,
1924-02-01,45.0,112.752,45.0,112.752,,,,,,,,
1924-03-01,57.5,154.008,57.5,154.008,,,,,,,,
1924-04-01,46.5,120.528,46.5,120.528,,,,,,,,
1924-05-01,22.0,58.9248,22.0,58.9248,,,,,,,,
1924-06-01,14.0,36.288,14.0,36.288,,,,,,,,
1924-07-01,12.0,32.1408,12.0,32.1408,,,,,,,,
1924-08-01,13.0,34.8192,13.0,34.8192,,,,,,,,
1924-09-01,15.5,40.176,15.5,40.176,,,,,,,,
1924-10-01,17.0,45.5328,17.0,45.5328,,,,,,,,
1924-11-01,17.5,45.36,17.5,45.36,,,,,,,,
1924-12-01,20.0,53.568,20.0,53.568,,,,,,,,
1925-01-01,32.0,85.7088,32.0,85.7088,,,,,,,,
1925-02-01,40.0,96.768,40.0,96.768,,,,,,,,
1925-03-01,,,,,,,,,,,,
1925-04-01,,,,,,,,,,,,
1925-05-01,,,,,,,,,,,,
