date,precipitacion_manchaybajo_mm,precipitacion_antioquia_mm,precipitacion_matucana_mm,precipitacion_langa_mm,precipitacion_santiagodetuna_mm,precipitacion_huarochiri_mm,precipitacion_sanlazarodeescomarca_mm,precipitacion_sanjosedeparac_mm,precipitacion_chalilla_mm,precipitacion_areal_mm
1998-05-01,0.2,0.0,0.0,0.0,0.8,0.0,0.0,19.1,0.8,0.0
1998-06-01,2.9,0.0,0.0,0.0,0.0,0.0,0.3,22.7,0.0,0.25
1998-07-01,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
1998-08-01,1.1,0.0,2.5,0.0,0.0,0.0,0.0,2.2,0.0,0.0
1998-09-01,2.8,0.0,2.2,0.0,0.0,0.0,0.9,11.0,5.9,0.74
1998-10-01,0.2,0.0,0.0,0.2,0.0,0.0,2.5,14.3,1.9,2.07
1998-11-01,0.9,0.0,0.0,1.5,1.5,0.0,7.2,18.5,6.7,5.95
1998-12-01,0.0,13.1,20.9,28.0,106.3,37.7,5.4,38.9,0.0,4.46
1999-01-01,1.2,18.7,57.2,41.4,46.8,33.4,57.5,73.1,95.4,47.52
1999-02-01,0.0,102.1,163.3,223.7,113.5,132.1,207.9,171.3,110.8,171.82
1999-03-01,1.4,13.9,54.3,70.0,55.0,65.8,115.2,100.5,130.6,95.21
1999-04-01,0.0,1.6,24.4,60.3,33.0,17.3,91.5,75.3,72.1,75.62
1999-05-01,0.5,2.8,0.0,8.7,6.2,5.4,35.0,6.2,1.2,28.93
1999-06-01,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
1999-07-01,3.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,1.98
1999-08-01,19.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,6.86
1999-09-01,5.5,0.0,4.0,2.1,0.6,0.6,11.4,17.4,10.5,9.42
1999-10-01,2.6,3.3,19.1,11.0,13.2,13.6,30.8,102.0,46.1,25.46
1999-11-01,1.0,0.5,19.3,3.5,10.0,1.1,22.1,47.2,33.0,18.27
1999-12-01,0.0,1.2,30.1,22.7,27.0,42.3,98.8,55.2,37.5,81.66
2000-01-01,0.2,23.1,82.5,81.5,74.5,58.9,76.1,114.1,126.1,62.89
2000-02-01,0.0,48.6,105.3,105.8,132.0,117.9,101.3,111.9,122.0,83.72
2000-03-01,1.0,10.5,67.8,41.3,83.9,64.4,71.0,82.3,119.1,58.68
2000-04-01,0.0,0.0,21.9,18.5,20.6,17.2,25.3,33.4,40.2,20.91
2000-05-01,0.0,0.0,5.6,0.0,0.0,0.0,6.5,1.2,0.0,5.37
2000-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2000-07-01,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,1.6,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.33
2000-09-01,12.0,0.0,0.0,1.5,1.4,0.0,13.3,18.2,6.1,10.99
2000-10-01,7.0,0.0,17.1,0.0,5.7,14.0,44.9,81.6,71.6,37.11
2000-11-01,1.0,0.0,0.0,0.0,6.2,3.4,34.3,16.4,31.4,28.35
2000-12-01,3.6,4.4,50.0,41.5,29.7,62.2,99.6,76.2,63.0,82.32
2001-01-01,0.0,37.3,116.8,121.4,80.7,76.8,142.7,176.2,157.8,117.94
2001-02-01,0.0,19.4,67.1,83.2,86.6,82.2,101.2,101.1,88.2,83.64
2001-03-01,0.0,14.7,110.2,148.7,103.1,105.4,186.5,158.9,226.7,154.14
2001-04-01,0.0,3.3,14.9,40.5,46.2,33.0,51.2,55.4,40.5,42.32
2001-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,0.41
2001-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-07-01,4.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2001-08-01,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,4.1,0.0,0.0,0.0,0.0,1.2,3.6,12.3,3.8,2.98
2001-10-01,0.0,0.0,1.9,0.9,0.6,4.3,8.4,22.4,11.4,6.94
2001-11-01,0.0,8.6,41.4,42.7,26.2,39.5,49.0,77.5,66.7,40.5
2001-12-01,0.0,0.0,2.2,0.0,1.3,0.0,0.0,22.8,14.4,0.0
2002-01-01,0.0,1.9,17.8,11.4,13.5,21.1,45.6,16.1,42.4,37.69
2002-02-01,0.0,37.6,74.3,71.7,124.8,74.4,103.5,114.1,110.3,85.54
2002-03-01,0.0,26.3,61.9,87.0,68.3,70.5,96.6,93.2,127.9,79.84
2002-04-01,0.0,5.1,32.4,26.2,47.0,28.7,80.7,74.3,76.6,66.7
2002-05-01,0.0,0.1,6.2,1.1,6.8,0.0,3.4,26.4,0.4,2.81
2002-06-01,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
2002-07-01,9.8,0.0,0.0,0.0,0.0,0.0,2.3,2.4,0.0,1.9
2002-08-01,10.0,0.1,0.0,0.0,0.0,0.0,0.5,7.0,0.0,0.41
2002-09-01,7.5,0.0,3.7,3.7,0.0,0.0,13.8,18.6,10.6,11.41
2002-10-01,6.4,1.6,13.3,8.8,12.7,9.2,27.2,91.7,37.6,22.48
2002-11-01,3.6,1.0,22.2,32.0,25.3,24.7,91.3,45.4,95.2,75.46
2002-12-01,4.1,1.8,42.9,5.4,15.7,14.6,19.5,66.2,61.1,16.12
