time,E_index,C_index
2014-12-01,0.08412,0.98693
2015-01-01,-0.40122,1.19076
2015-02-01,-0.96388,1.47580
2015-03-01,-0.75090,1.36789
2015-04-01,0.07661,1.23730
2015-05-01,0.66860,1.07254
2015-06-01,1.41962,0.95014
2015-07-01,1.98542,0.91178
2015-08-01,1.80269,1.34996
2015-09-01,2.36509,1.36041
2015-10-01,2.40227,1.52272
2015-11-01,2.31831,1.96206
2015-12-01,2.39471,1.82566
2016-01-01,2.09554,1.81010
2016-02-01,1.31251,1.83939
2016-03-01,1.05223,1.49164
2016-04-01,0.24897,1.18208
2016-05-01,-0.07327,0.77639
2016-06-01,-0.05774,0.51612
2016-07-01,-0.47371,0.18259
2016-08-01,-0.34129,-0.10791
2016-09-01,0.15607,-0.47629
2016-10-01,-0.12942,-0.63096
2016-11-01,-0.10737,-0.65700
2016-12-01,-0.12098,-0.33930
2017-01-01,0.45175,-0.41407
2017-02-01,0.94248,-0.36999
2017-03-01,0.90547,-0.29176
2017-04-01,0.68927,-0.01350
2017-05-01,0.14285,0.30892
2017-06-01,-0.34432,0.55911
2017-07-01,-0.34870,0.49495
2017-08-01,-0.46772,0.16772
2017-09-01,-0.89899,0.06222
2017-10-01,-0.84247,-0.18198
2017-11-01,-1.16959,-0.29799
2017-12-01,-1.40814,-0.40430
2018-01-01,-1.30847,-0.38604
2018-02-01,-1.06624,-0.28066
2018-03-01,-1.30743,-0.09402
2018-04-01,-1.09981,0.23150
2018-05-01,-0.85466,0.37981
2018-06-01,-0.67234,0.53721
2018-07-01,-0.34613,0.44559
2018-08-01,-0.60464,0.69978
2018-09-01,-0.30820,0.94219
2018-10-01,-0.17236,1.37251
2018-11-01,0.24032,1.21241
2018-12-01,0.37831,1.07426
2019-01-01,0.26197,0.91680
2019-02-01,0.20509,0.95438
2019-03-01,0.09255,1.04258
2019-04-01,0.19505,0.85271
2019-05-01,0.07785,0.85603
2019-06-01,-0.47744,1.07121
2019-07-01,-1.02207,1.35327
2019-08-01,-1.13823,1.19639
2019-09-01,-1.02748,1.08590
2019-10-01,-0.94857,1.35577
2019-11-01,-0.44747,1.22173
2019-12-01,-0.54361,1.24929
2020-01-01,-0.64377,1.35918
2020-02-01,-0.52451,1.10330
2020-03-01,-0.55846,1.15044
2020-04-01,-0.17546,0.81977
2020-05-01,-0.46932,0.27271
2020-06-01,-1.09952,0.40174
2020-07-01,-1.21243,0.35144
2020-08-01,-0.90400,-0.15289
2020-09-01,-1.14011,-0.45790
2020-10-01,-0.77764,-1.00664
2020-11-01,-0.73515,-1.19493
2020-12-01,-0.36975,-1.35502
2021-01-01,-0.18553,-1.43992
2021-02-01,-0.29539,-1.27380
2021-03-01,-0.44242,-0.84476
2021-04-01,-0.79473,-0.50990
2021-05-01,-0.75423,-0.22526
2021-06-01,-0.35456,-0.18980
2021-07-01,-0.14587,-0.37382
2021-08-01,-0.38981,-0.34408
2021-09-01,-0.30455,-0.60252
2021-10-01,-0.42483,-0.94558
2021-11-01,-0.66482,-0.89259
2021-12-01,-1.28188,-0.81830
2022-01-01,-1.46176,-0.33104
2022-02-01,-1.54007,-0.21239
2022-03-01,-0.49648,-0.97878
2022-04-01,-0.72751,-1.01689
2022-05-01,-1.01801,-0.96807
2022-06-01,-0.96392,-0.78502
2022-07-01,-0.44838,-1.06315
2022-08-01,0.01487,-1.51474
2022-09-01,-0.41892,-1.58186
2022-10-01,-1.01580,-1.26904
2022-11-01,-0.73647,-1.19711
2022-12-01,-0.48473,-1.24585
2023-01-01,-0.35615,-0.93614
2023-02-01,0.38781,-1.10911
2023-03-01,1.02222,-0.84295
2023-04-01,1.40107,-0.54867
2023-05-01,1.41176,-0.20236
2023-06-01,1.64905,0.26108
2023-07-01,2.07232,0.29222
2023-08-01,2.52894,0.52773
2023-09-01,2.20060,1.01112
2023-10-01,2.03711,1.23204
2023-11-01,1.75909,1.68333
2023-12-01,1.44486,1.85113
2024-01-01,1.02626,1.99544
2024-02-01,0.81089,1.74974
2024-03-01,0.21995,1.51728
2024-04-01,-0.28526,1.46370
2024-05-01,nan,nan
2024-06-01,-1.18940,1.24606
2024-07-01,-0.87688,0.99681
2024-08-01,nan,nan
2024-09-01,-0.64988,0.31724
2024-10-01,-0.40158,0.19725
2024-11-01,-0.32433,0.19997
2024-12-01,-0.23516,-0.49128
2025-01-01,-0.13563,-0.78233
2025-02-01,0.52036,-0.92364
2025-03-01,1.10709,-0.77652
2025-04-01,0.38991,-0.46853
2025-05-01,-0.12862,-0.14836
2025-06-01,-0.13789,0.05200
2025-07-01,0.04934,-0.08548
2025-08-01,-0.06153,-0.31006
2025-09-01,-0.44051,-0.37255
2025-10-01,-0.24593,-0.60893
2025-11-01,-0.39505,-0.72341
2025-12-01,-0.87624,-0.37049
2026-01-01,-0.83939,-0.09059
2026-02-01,-0.16609,-0.03080
