mes,CAPLINA-OCOÑA,CHÁPARRA-CHINCHA,CAÑETE-FORTALEZA,HUARMEY-CHICAMA,JEQUETEPEQUE-ZARUMILLA,MARAÑÓN,AMAZONAS,HUALLAGA,UCAYALI,MANTARO,PAMPAS-APURIMAC,URUBAMBA-VILCANOTA,MADRE DE DIOS,TITICACA
1,0.6452639562004395,0.8984638166662673,1.1219311473600773,2.2709123316484483,-0.12183182917770048,1.153019273174567,-1.9073399339961574,2.2505048389084514,6.001062749488715,2.6104062675800406,1.6609864775104937,5.533756172373575,3.975027349975364,1.5638307324804188
2,1.7579456629154422,2.2039178047910655,2.0060834823595277,4.517077190967318,0.5510508283036168,3.8853622737150983,2.3096114433930977,6.076593797899862,11.608561707929457,4.566850782621354,3.892940283928359,10.071669260020604,9.138016343027573,4.1621414710727365
3,2.3153290335511505,2.8104845298376,2.3445465431428554,5.250734951884695,1.3994238756459296,5.615900183981828,6.890940133475909,8.493491469963713,14.761169536359285,5.245908232827076,5.012929988869483,12.140129896882105,11.684953566853796,5.421773305576199
4,2.144258803131391,2.4815407026047667,1.9064666236214864,4.761210094535606,1.5946832148216616,5.843858382037002,10.943497317710154,8.437864101761901,13.858492737873366,4.219566442039327,4.519158219730843,10.550283582401757,11.114913873026346,5.01263881724079
5,1.2970549745709776,1.5044732694861778,1.0959953293492777,2.7638508679452656,1.4754595714093668,4.132862202699831,10.876995959686264,5.512440549654569,8.422120997194487,2.3631303759092175,2.611535114893249,6.219173498403297,7.307726915495272,2.8972712459848284
6,0.23182511959162488,0.19918775192109725,-0.028435179077922583,0.14039989735563066,0.8015220660368702,1.227615650243328,7.02655221312364,0.8753326909660581,0.1843721971763527,-0.11126323298929622,0.18233356870385975,0.2089779534800309,2.1691403052811062,0.4241143222892757
7,-0.7130642044388179,-0.8667208986474862,-0.974262007487033,-2.2543417651568487,0.14343345820434714,-1.5751800623772687,0.9497976452251481,-3.2297951615319653,-7.019978687268272,-2.2189797375850624,-1.886888265771729,-5.332786432662638,-3.3103594293880407,-1.9276768512991742
8,-1.554684278971293,-1.938969706150699,-1.882660452663267,-4.343638478539567,-0.6846439851659611,-4.154056243983737,-5.265421298894353,-6.610698899627135,-12.815044076208132,-4.289744465959035,-3.5864230246123863,-10.09117253026036,-8.503405787817686,-3.6282733238322025
9,-1.9894722181856093,-2.3273477976431756,-2.077952176824254,-4.826670459684652,-1.2860385175693338,-5.252534783715663,-9.366289572125744,-7.789734410471943,-14.639014326028535,-4.670820740307982,-4.2714126116456566,-11.760514429196286,-11.559781750163411,-4.610186986660987
10,-2.0645027498188546,-2.475541035254834,-2.010079850064676,-4.668434008644567,-1.559033784182542,-5.319065894350295,-9.872041714559167,-7.3557996242942565,-12.72272631515649,-4.519272216850415,-4.278171283607522,-10.645132377372802,-11.706834063224424,-4.642488905524762
11,-1.5058798533726208,-1.778157923702356,-1.2248968359762358,-2.944033871596487,-1.3499764560850689,-3.8739855048344256,-7.94003396903123,-4.988808687311925,-7.222654500839371,-2.6569778977156204,-2.930239254327677,-6.223336343417684,-7.941059757451557,-3.439038825175305
12,-0.5640742451738302,-0.7113305139084226,-0.27673662373983504,-0.6670667507148448,-0.9640484422411855,-1.6837954765902654,-4.646268224007565,-1.6713906659173283,-0.41636202052086185,-0.5388038095696028,-0.9267492136713168,-0.6710482506515928,-2.368337565614339,-1.234105002151816
